Period,Accomodation type,Travel,Tourists
01-Jun-12,Camping,Domestic,431000
01-Jun-12,Camping,International,95000
01-Jul-12,Camping,Domestic,641000
01-Jul-12,Camping,International,149000
01-Aug-12,Camping,Domestic,793000
01-Aug-12,Camping,International,185000
01-Sep-12,Camping,Domestic,315000
01-Sep-12,Camping,International,66000
01-Oct-12,Camping,Domestic,146000
01-Oct-12,Camping,International,41000
01-Nov-12,Camping,Domestic,10000
01-Nov-12,Camping,International,9000
01-Dec-12,Camping,Domestic,8000
01-Dec-12,Camping,International,4000
01-Jan-13,Camping,Domestic,6000
01-Jan-13,Camping,International,4000
01-Feb-13,Camping,Domestic,6000
01-Feb-13,Camping,International,4000
01-Mar-13,Camping,Domestic,21000
01-Mar-13,Camping,International,15000
01-Apr-13,Camping,Domestic,166000
01-Apr-13,Camping,International,59000
01-May-13,Camping,Domestic,566000
01-May-13,Camping,International,126000
01-Jun-13,Camping,Domestic,439000
01-Jun-13,Camping,International,101000
01-Jul-13,Camping,Domestic,709000
01-Jul-13,Camping,International,162000
01-Aug-13,Camping,Domestic,788000
01-Aug-13,Camping,International,222000
01-Sep-13,Camping,Domestic,281000
01-Sep-13,Camping,International,69000
01-Oct-13,Camping,Domestic,121000
01-Oct-13,Camping,International,46000
01-Nov-13,Camping,Domestic,8000
01-Nov-13,Camping,International,9000
01-Dec-13,Camping,Domestic,8000
01-Dec-13,Camping,International,4000
01-Jan-14,Camping,Domestic,7000
01-Jan-14,Camping,International,6000
01-Feb-14,Camping,Domestic,5000
01-Feb-14,Camping,International,3000
01-Mar-14,Camping,Domestic,26000
01-Mar-14,Camping,International,16000
01-Apr-14,Camping,Domestic,210000
01-Apr-14,Camping,International,99000
01-May-14,Camping,Domestic,404000
01-May-14,Camping,International,72000
01-Jun-14,Camping,Domestic,595000
01-Jun-14,Camping,International,168000
01-Jul-14,Camping,Domestic,603000
01-Jul-14,Camping,International,153000
01-Aug-14,Camping,Domestic,722000
01-Aug-14,Camping,International,218000
01-Sep-14,Camping,Domestic,301000
01-Sep-14,Camping,International,77000
01-Oct-14,Camping,Domestic,134000
01-Oct-14,Camping,International,69000
01-Nov-14,Camping,Domestic,9000
01-Nov-14,Camping,International,11000
01-Dec-14,Camping,Domestic,7000
01-Dec-14,Camping,International,5000
01-Jan-15,Camping,Domestic,6000
01-Jan-15,Camping,International,6000
01-Feb-15,Camping,Domestic,8000
01-Feb-15,Camping,International,7000
01-Mar-15,Camping,Domestic,21000
01-Mar-15,Camping,International,15000
01-Apr-15,Camping,Domestic,154000
01-Apr-15,Camping,International,92000
01-May-15,Camping,Domestic,506000
01-May-15,Camping,International,145000
01-Jun-15,Camping,Domestic,393000
01-Jun-15,Camping,International,118000
01-Jul-15,Camping,Domestic,629000
01-Jul-15,Camping,International,188000
01-Aug-15,Camping,Domestic,756000
01-Aug-15,Camping,International,216000
01-Sep-15,Camping,Domestic,230000
01-Sep-15,Camping,International,69000
01-Oct-15,Camping,Domestic,126000
01-Oct-15,Camping,International,67000
01-Nov-15,Camping,Domestic,12000
01-Nov-15,Camping,International,11000
01-Dec-15,Camping,Domestic,10000
01-Dec-15,Camping,International,8000
01-Jan-16,Camping,Domestic,9000
01-Jan-16,Camping,International,9000
01-Feb-16,Camping,Domestic,6000
01-Feb-16,Camping,International,6000
01-Mar-16,Camping,Domestic,31000
01-Mar-16,Camping,International,30000
01-Apr-16,Camping,Domestic,152000
01-Apr-16,Camping,International,59000
01-May-16,Camping,Domestic,498000
01-May-16,Camping,International,165000
01-Jun-16,Camping,Domestic,340000
01-Jun-16,Camping,International,87000
01-Jul-16,Camping,Domestic,552000
01-Jul-16,Camping,International,191000
01-Aug-16,Camping,Domestic,784000
01-Aug-16,Camping,International,218000
01-Sep-16,Camping,Domestic,327000
01-Sep-16,Camping,International,98000
01-Oct-16,Camping,Domestic,131000
01-Oct-16,Camping,International,81000
01-Nov-16,Camping,Domestic,9000
01-Nov-16,Camping,International,13000
01-Dec-16,Camping,Domestic,10000
01-Dec-16,Camping,International,7000
01-Jan-17,Camping,Domestic,7000
01-Jan-17,Camping,International,8000
01-Feb-17,Camping,Domestic,5000
01-Feb-17,Camping,International,8000
01-Mar-17,Camping,Domestic,25000
01-Mar-17,Camping,International,20000
01-Apr-17,Camping,Domestic,177000
01-Apr-17,Camping,International,120000
01-May-17,Camping,Domestic,428000
01-May-17,Camping,International,113000
01-Jun-17,Camping,Domestic,432000
01-Jun-17,Camping,International,182000
01-Jul-17,Camping,Domestic,491000
01-Jul-17,Camping,International,192000
01-Aug-17,Camping,Domestic,668000
01-Aug-17,Camping,International,220000
01-Sep-17,Camping,Domestic,261000
01-Sep-17,Camping,International,87000
01-Oct-17,Camping,Domestic,112000
01-Oct-17,Camping,International,76000
01-Nov-17,Camping,Domestic,11000
01-Nov-17,Camping,International,21000
01-Dec-17,Camping,Domestic,8000
01-Dec-17,Camping,International,9000
01-Jan-18,Camping,Domestic,6000
01-Jan-18,Camping,International,9000
01-Feb-18,Camping,Domestic,8000
01-Feb-18,Camping,International,9000
01-Mar-18,Camping,Domestic,26000
01-Mar-18,Camping,International,27000
01-Apr-18,Camping,Domestic,188000
01-Apr-18,Camping,International,103000
01-May-18,Camping,Domestic,545000
01-May-18,Camping,International,198000
01-Jun-18,Camping,Domestic,370000
01-Jun-18,Camping,International,144000
01-Jul-18,Camping,Domestic,549000
01-Jul-18,Camping,International,234000
01-Aug-18,Camping,Domestic,694000
01-Aug-18,Camping,International,249000
